Category,StarRating,Sentiment,OrderAccuracy,CustomizationError,FoodQuality,Comment
Cleanliness,2,Negative,Correct,None,N/A,"Saw a rat outside near the dumpster. Scared it would come inside."
Environment,4,Positive,Correct,None,N/A,"They have a fish tank in the lobby. Keeps the kids entertained."
Food quality,4,Positive,Correct,None,Fresh,"New crispy chicken sandwich is a solid competitor to the big chains."
Staff service,1,Negative,Correct,None,N/A,"Employee at the counter was having a loud personal phone conversation."
Timeliness,5,Positive,Correct,None,Hot,"Food was ready instantly. I suspect it was a mistake order that matched mine, but it was correct."
Cleanliness,3,Neutral,Correct,None,N/A,"Bathroom was out of soap. Used hand sanitizer instead."
Environment,1,Negative,Correct,None,N/A,"The whole place smelled like a deep fryer. Clothes stunk after leaving."
Food quality,2,Negative,Correct,None,Soggy,"Fries were limp and greasy. Tasted like they'd been sitting for hours."
Customization error,3,Neutral,Incorrect,None,N/A,"They forgot the lettuce on my deluxe sandwich. Noticed after I left."
Order accuracy,5,Positive,Correct,None,N/A,"They read back the order perfectly. Everything in the bag was correct."
Staff service,4,Positive,Correct,None,N/A,"Employee smiled and thanked me. Rare these days."
Timeliness,1,Negative,Incorrect,None,Average,"Inside service was non-existent. Waited at the counter for someone to show up."
Cleanliness,5,Positive,Correct,None,N/A,"Dining room was spotless. Even the windowsills were dusted."
Environment,5,Positive,Correct,None,N/A,"They have a large community table with outlets. Great for studying."
Food quality,5,Positive,Correct,None,Fresh,"Bacon on the burger was actually crispy. Not the usual floppy bacon."
Staff service,3,Neutral,Correct,None,N/A,"Worker was quiet. Took my money, gave my food. Transaction complete."
Timeliness,4,Positive,Correct,None,Hot,"Lunch rush and they were cranking out orders. Good team."
Cleanliness,2,Negative,Correct,None,N/A,"High chair tray was covered in dried ketchup. Had to clean it myself."
Environment,3,Neutral,Correct,None,N/A,"It's a truck stop McDonald's. Exactly what you'd expect."
Food quality,1,Negative,Incorrect,Missing ingredients,Burnt,"Burger was charred black. They forgot the onions and pickles anyway."
Customization error,2,Negative,Incorrect,Wrong customizations,N/A,"Plain cheeseburger came with ketchup and mustard. I said plain."
Order accuracy,4,Positive,Correct,None,N/A,"They put the lettuce on the bottom like I asked. Keeps the bun from getting soggy."
Staff service,5,Positive,Correct,None,N/A,"The young lady at the counter gave my toddler a sticker. So kind."
Timeliness,3,Neutral,Correct,None,Average,"Not the fastest, not the slowest. Middle of the road."
Cleanliness,4,Positive,Correct,None,N/A,"Parking lot was clean and free of litter. Good curb appeal."
Environment,2,Negative,Correct,None,N/A,"Noise from the kitchen was loud. Banging and yelling."
Food quality,3,Neutral,Correct,None,Adequate,"Big Mac was sloppy but tasted like a Big Mac."
Staff service,2,Negative,Correct,None,N/A,"Worker avoided eye contact and didn't say thank you."
Timeliness,5,Positive,Correct,None,Hot,"Graveyard shift service was surprisingly fast and accurate."
Cleanliness,1,Negative,Correct,None,N/A,"There was a hair in my food. I saw it before I ate it. Disgusting."
Environment,4,Positive,Correct,None,N/A,"They have a fireplace and cozy chairs. Very inviting on a cold day."
Food quality,4,Positive,Correct,None,Fresh,"The new Spicy Nuggets are legit. Good heat and crunch."
Customization error,1,Negative,Incorrect,Wrong bread,N/A,"Ordered a Big Mac. Received a Quarter Pounder box. Wrong sandwich entirely."
Order accuracy,3,Neutral,Partial error,None,Hot,"They gave me a large coffee when I ordered a small. Paid for small, free upgrade I guess."
Staff service,4,Positive,Correct,None,N/A,"Employee was training someone and was very polite despite being busy."
Timeliness,2,Negative,Incorrect,None,Warm,"Waited in the drive-thru for a long time. Fries were warm not hot."
Cleanliness,5,Positive,Correct,None,N/A,"The restroom was cleaner than my own bathroom at home. Respect."
Environment,1,Negative,Correct,None,N/A,"The place was freezing cold. AC was on full blast in winter."
Food quality,2,Negative,Correct,None,Dry,"McChicken patty was dry and the lettuce was wilted."
Staff service,5,Positive,Correct,None,N/A,"This crew works like a well-oiled machine. Friendly and fast."
Timeliness,1,Negative,Incorrect,Wrong sauce,N/A,"Stuck waiting on fries. Then they forgot the sweet and sour sauce."
Cleanliness,3,Neutral,Correct,None,N/A,"It was okay. A few napkins on the floor but nothing major."
Environment,5,Positive,Correct,None,N/A,"Great place to bring a laptop. Outlets everywhere and free Wi-Fi."
Food quality,5,Positive,Correct,None,Perfect,"The soft serve cone was perfect. No drips, perfectly swirled."
Customization error,3,Neutral,Incorrect,None,N/A,"Ordered no pickles. Found one pickle. Removed it. Life goes on."
Order accuracy,2,Negative,Missing item,None,N/A,"Forgot the Happy Meal toy. Try explaining that to a 4-year-old."
Staff service,3,Neutral,Correct,None,N/A,"Employee was on autopilot. No personality but no problems."
Timeliness,4,Positive,Correct,None,Fresh,"Order ahead made it easy. Food was on the counter waiting for me."
Cleanliness,2,Negative,Correct,None,N/A,"The ice cream machine area was a sticky mess."
Environment,4,Positive,Correct,None,N/A,"They have a nice little patio with umbrellas. Good for summer."
Food quality,1,Negative,Incorrect,Missing ingredients,Undercooked,"Chicken in the wrap was pink. Unacceptable. Threw it out."
Staff service,4,Positive,Incorrect,None,N/A,"Made a mistake on the price but fixed it immediately without hassle."
Timeliness,3,Neutral,Correct,None,Average,"Took about 5 minutes. Could be faster, could be slower."
Cleanliness,5,Positive,Correct,None,N/A,"The silverware and trays were all dry. No water spots."
Environment,1,Negative,Correct,None,N/A,"A kid threw up on the floor and the staff just put a cone over it."
Food quality,4,Positive,Correct,None,Fresh,"The biscuits and gravy were surprisingly good. Gravy was peppery."
Customization error,2,Negative,Incorrect,Wrong customizations,N/A,"Asked for extra onions. Got a normal amount of onions."
Order accuracy,5,Positive,Correct,None,N/A,"They even cut the burger in half as requested. Attention to detail."
Staff service,5,Positive,Correct,None,N/A,"The lady at the window gave my dog a pup cup. She's a hero."
Timeliness,2,Negative,Correct,None,Warm,"Food was warm, clearly not fresh. Probably been sitting."
Cleanliness,3,Neutral,Correct,None,N/A,"Lobby was clean but the drink station was out of lids."
Environment,5,Positive,Correct,None,N/A,"They have a real McCafe area with pastries and comfy seats."
Food quality,2,Negative,Correct,None,Stale,"Cookies were rock hard. Like they'd been out for days."
Staff service,2,Negative,Correct,None,N/A,"Worker gave me a dirty look when I asked for extra ketchup packets."
Timeliness,5,Positive,Correct,None,Hot,"Fastest service I've had in months. Drive-thru was a breeze."
Cleanliness,1,Negative,Correct,None,N/A,"Garbage can was overflowing and stunk up the whole dining room."
Environment,3,Neutral,Correct,None,N/A,"Average atmosphere. The chairs are a bit uncomfortable."
Food quality,3,Neutral,Correct,None,Adequate,"Fries were a bit salty but the burger was okay."
Customization error,1,Negative,Incorrect,Wrong drink,N/A,"Ordered a Diet Coke. Tasted like regular. I can't have sugar."
Order accuracy,4,Positive,Correct,None,N/A,"Everything was correct, even the special request for no salt on the patty."
Staff service,3,Neutral,Correct,None,N/A,"Cashier was new and slow but very friendly. I didn't mind."
Timeliness,1,Negative,Incorrect,None,Cold,"Sat at the curbside spot for 18 minutes. Had to go inside to get cold food."
Cleanliness,4,Positive,Correct,None,N/A,"They have a hand sanitizer dispenser at the front door. Good hygiene."
Environment,2,Negative,Correct,None,N/A,"The speaker box was broken so we had to scream our order."
Food quality,5,Positive,Correct,None,Fresh,"The new Strawberry Shortcake McFlurry is divine. Loaded with toppings."
Staff service,4,Positive,Correct,None,N/A,"Employee offered to carry my tray since I had my baby with me. So helpful."
Timeliness,3,Neutral,Incorrect,None,Average,"Speed was fine. They forgot the straw but I grabbed one."
Cleanliness,5,Positive,Correct,None,N/A,"This is the cleanest fast food restaurant I've ever been in. Seriously."
Environment,4,Positive,Correct,None,N/A,"They have a big fish tank. My son loved watching the fish."
Food quality,1,Negative,Incorrect,Missing ingredients,Soggy,"Fish sandwich was soggy and missing half the fish patty."
Customization error,3,Neutral,Incorrect,None,N/A,"Forgot the extra cheese slice. Wasn't worth the wait to fix it."
Order accuracy,2,Negative,Incorrect,Wrong customizations,Average,"Burger had onions when I specifically said no onions due to allergy."
Staff service,5,Positive,Correct,None,N/A,"Manager personally delivered my food and apologized for a 2-minute wait."
Timeliness,4,Positive,Correct,None,Hot,"Drive-thru line was long but moved fast. Good flow."
Cleanliness,2,Negative,Correct,None,N/A,"The play area smelled like sweaty feet and plastic."
Environment,5,Positive,Correct,None,N/A,"Nice and bright with floor to ceiling windows. Doesn't feel like a fast food joint."
Food quality,4,Positive,Correct,None,Fresh,"Steak bagel was hot and the onions were grilled nicely."
Staff service,1,Negative,Incorrect,None,N/A,"Took my order wrong twice. Then argued with me about it."
Timeliness,2,Negative,Correct,None,Average,"Waited 10 minutes for a soft drink. That's it."
Cleanliness,3,Neutral,Correct,None,N/A,"It was fine. The trash was taken out recently so no smell."
Environment,1,Negative,Correct,None,N/A,"The AC was dripping water from the ceiling onto a table."
Food quality,2,Negative,Correct,None,Overcooked,"Burger was dry and overcooked. Cheese was burnt on the edges."
Customization error,4,Positive,Incorrect,None,Fresh,"They gave me a large fry instead of medium. Happy accident."
Order accuracy,5,Positive,Correct,None,N/A,"Ordered a complex salad modification. It was perfect."
Staff service,3,Neutral,Correct,None,N/A,"Worker seemed distracted but got the job done."
Timeliness,5,Positive,Correct,None,Hot,"Wow, that was fast. Food was in my hand before I could put my change away."
Cleanliness,4,Positive,Correct,None,N/A,"Saw a crew member sanitizing the door handles. Appreciate the effort."
Environment,3,Neutral,Correct,None,N/A,"It's a McDonald's. Not a five-star restaurant. It's fine."
Food quality,5,Positive,Correct,None,Perfect,"Cheeseburger was assembled with care. Lettuce was crisp, tomato was red."
Staff service,5,Positive,Correct,None,N/A,"This location has the best staff. Always smiling and helpful."
Timeliness,1,Negative,Incorrect,Wrong drink,N/A,"They lost my mobile order. Had to re-order and wait. Drink was wrong anyway."
Cleanliness,1,Negative,Correct,None,N/A,"Dead fly on the windowsill. Been there a while."
Environment,4,Positive,Correct,None,N/A,"They have a giant touchscreen for kids to play games on."
Food quality,3,Neutral,Correct,None,Adequate,"Fries were a little limp but the burger was good."
Customization error,2,Negative,Incorrect,Wrong customizations,N/A,"Ordered a plain double cheeseburger. Received a single cheeseburger with pickles."
Order accuracy,4,Positive,Correct,None,N/A,"Got exactly what I ordered. No complaints."
Staff service,2,Negative,Correct,None,N/A,"Worker didn't say a single word to me. Just stared."
Timeliness,4,Positive,Correct,None,Hot,"Very efficient. They know how to handle the breakfast rush."
Cleanliness,5,Positive,Correct,None,N/A,"The bathroom smelled like flowers. No joke."
Environment,2,Negative,Correct,None,N/A,"Too many people on laptops camping at tables. No where to sit."
Food quality,1,Negative,Incorrect,Missing ingredients,Burnt,"Nuggets were burnt and they forgot the BBQ sauce."
Staff service,4,Positive,Correct,None,N/A,"Employee at the counter was training and did a great job."
Timeliness,3,Neutral,Incorrect,None,Average,"Speed was okay but they gave me the wrong size fry."
Cleanliness,2,Negative,Correct,None,N/A,"Table was sticky from the last customer. Had to clean it myself."
Environment,5,Positive,Correct,None,N/A,"The new remodel is beautiful. Feels upscale."
Food quality,4,Positive,Correct,None,Fresh,"Fruit and yogurt parfait was fresh and cold. Good alternative to fries."
Customization error,1,Negative,Incorrect,Wrong customizations,N/A,"Ordered a burger with no meat (vegetarian). It had bacon on it."
Order accuracy,3,Neutral,Partial error,None,Hot,"They gave me two cheeseburgers instead of one. Not complaining but it's wrong."
